Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
26120058,-17.37,138.36,40.2,1.31,7.4,40.9,13.4
26134320,-17.37,137.64,40.3,1.31,7.5,41.0,13.3
26148582,-17.31,137.43,40.2,1.32,7.6,41.0,13.3
26162844,-17.45,136.51,40.5,1.31,7.6,41.2,12.9
26177106,-17.33,135.37,40.5,1.31,7.9,41.2,12.8
26191368,-17.48,135.09,40.7,1.31,7.8,41.4,12.5
26205630,-17.28,134.14,40.6,1.32,8.1,41.4,12.6
26219892,-17.41,133.85,40.7,1.31,8.1,41.5,12.3
26234154,-17.40,132.92,40.8,1.31,8.2,41.7,12.1
26248416,-17.33,132.35,40.8,1.31,8.4,41.7,12.0
26262678,-17.51,131.92,41.1,1.31,8.3,41.9,11.6
26276940,-17.31,130.90,41.0,1.32,8.6,41.9,11.6
26291202,-17.44,130.79,41.1,1.31,8.5,42.0,11.3
26305464,-17.30,129.73,41.1,1.32,8.8,42.1,11.2
26319726,-17.38,129.55,41.2,1.31,8.8,42.1,11.0
26333988,-17.35,128.33,41.4,1.31,9.0,42.3,10.8
26348250,-17.31,128.14,41.3,1.32,9.0,42.3,10.7
26362512,-17.37,127.18,41.5,1.31,9.1,42.5,10.3
26376774,-17.26,126.77,41.5,1.32,9.3,42.5,10.3
26391036,-17.32,126.83,41.5,1.32,9.2,42.5,10.1
26405298,-17.24,125.36,41.6,1.32,9.5,42.7,9.8
26419560,-17.27,124.72,41.8,1.32,9.6,42.9,9.6
26433822,-17.20,123.67,41.8,1.32,9.8,43.0,9.3
26448084,-17.19,123.31,41.9,1.32,9.9,43.0,9.2
26462346,-17.21,122.97,42.0,1.32,9.9,43.1,9.0
26476608,-17.15,122.14,42.0,1.32,10.1,43.2,8.7
26490870,-17.21,121.97,42.1,1.32,10.0,43.3,8.5
26505132,-17.08,120.57,42.2,1.33,10.4,43.4,8.2
26519394,-17.12,120.77,42.2,1.32,10.3,43.4,8.1
26533656,-17.06,119.40,42.3,1.33,10.6,43.6,7.7
26547918,-17.09,118.95,42.4,1.33,10.6,43.7,7.5
26562180,-17.03,118.17,42.5,1.33,10.8,43.9,7.2
26576442,-17.00,117.27,42.6,1.33,10.9,44.0,6.9
26590704,-16.99,117.07,42.7,1.33,11.0,44.0,6.8
26604966,-16.97,116.26,42.8,1.33,11.1,44.2,6.5
26619228,-16.98,115.90,42.8,1.33,11.1,44.3,6.2
26633490,-16.91,114.65,43.0,1.33,11.4,44.5,5.8
26647752,-16.94,114.57,43.0,1.33,11.4,44.5,5.7
26662014,-16.83,113.53,43.1,1.34,11.6,44.7,5.3
26676276,-16.85,112.83,43.2,1.34,11.7,44.8,5.0
